"","App","Category","Rating","Reviews","Size","Installs","Price","Content.Rating","Android.Ver","Everyone","Mature_17+","Teen","success"
"1","Photo Editor & Candy Camera & Grid & ScrapBook","ART_AND_DESIGN",4.1,1183,19,10000,0,"Everyone",4.03,1,0,0,"No"
"2","Coloring book moana","ART_AND_DESIGN",3.9,5924,14,5e+05,0,"Everyone",4.03,1,0,0,"Yes"
"3","U Launcher Lite â€“ FREE Live Cool Themes, Hide Apps","ART_AND_DESIGN",4.7,5681,8.7,5e+06,0,"Everyone",4.03,1,0,0,"Yes"
"4","Sketch - Draw & Paint","ART_AND_DESIGN",4.5,1947,25,5e+07,0,"Teen",4.2,0,0,1,"Yes"
"5","Pixel Draw - Number Art Coloring Book","ART_AND_DESIGN",4.3,5924,2.8,1e+05,0,"Everyone",4.4,1,0,0,"No"
"6","Paper flowers instructions","ART_AND_DESIGN",4.4,1310,5.6,50000,0,"Everyone",2.3,1,0,0,"No"
"7","Smoke Effect Photo Maker - Smoke Editor","ART_AND_DESIGN",3.8,1464,19,50000,0,"Everyone",4.03,1,0,0,"No"
"8","Infinite Painter","ART_AND_DESIGN",4.1,3385,29,1e+06,0,"Everyone",4.2,1,0,0,"Yes"
"9","Garden Coloring Book","ART_AND_DESIGN",4.4,816,33,1e+06,0,"Everyone",3,1,0,0,"Yes"
"10","Kids Paint Free - Drawing Fun","ART_AND_DESIGN",4.7,485,3.1,10000,0,"Everyone",4.03,1,0,0,"No"
"11","Text on Photo - Fonteee","ART_AND_DESIGN",4.4,834,28,1e+06,0,"Everyone",4.1,1,0,0,"Yes"
"12","Name Art Photo Editor - Focus n Filters","ART_AND_DESIGN",4.4,5695,12,1e+06,0,"Everyone",4,1,0,0,"Yes"
"13","Tattoo Name On My Photo Editor","ART_AND_DESIGN",4.2,3914,20,1e+07,0,"Teen",4.1,0,0,1,"Yes"
"14","Mandala Coloring Book","ART_AND_DESIGN",4.6,3830,21,1e+05,0,"Everyone",4.4,1,0,0,"No"
"15","3D Color Pixel by Number - Sandbox Art Coloring","ART_AND_DESIGN",4.4,1057,37,1e+05,0,"Everyone",2.3,1,0,0,"No"
"16","Learn To Draw Kawaii Characters","ART_AND_DESIGN",3.2,4460,2.7,5000,0,"Everyone",4.2,1,0,0,"No"
"17","Photo Designer - Write your name with shapes","ART_AND_DESIGN",4.7,3353,5.5,5e+05,0,"Everyone",4.1,1,0,0,"Yes"
"18","350 Diy Room Decor Ideas","ART_AND_DESIGN",4.5,2561,17,10000,0,"Everyone",2.3,1,0,0,"No"
"19","FlipaClip - Cartoon animation","ART_AND_DESIGN",4.3,1688,39,5e+06,0,"Everyone",4.03,1,0,0,"Yes"
"20","ibis Paint X","ART_AND_DESIGN",4.6,2052,31,1e+07,0,"Everyone",4.1,1,0,0,"Yes"
"21","Logo Maker - Small Business","ART_AND_DESIGN",4,3925,14,1e+05,0,"Everyone",4.1,1,0,0,"No"
"22","Boys Photo Editor - Six Pack & Men's Suit","ART_AND_DESIGN",4.1,4915,12,1e+05,0,"Everyone",4.03,1,0,0,"No"
"23","Superheroes Wallpapers | 4K Backgrounds","ART_AND_DESIGN",4.7,5345,4.2,5e+05,0,"Everyone",4.03,1,0,0,"Yes"
"25","HD Mickey Minnie Wallpapers","ART_AND_DESIGN",4.7,443,23,50000,0,"Everyone",4.1,1,0,0,"No"
"26","Harley Quinn wallpapers HD","ART_AND_DESIGN",4.8,1655,6,10000,0,"Everyone",3,1,0,0,"No"
"27","Colorfit - Drawing & Coloring","ART_AND_DESIGN",4.7,1776,25,5e+05,0,"Everyone",4.03,1,0,0,"Yes"
"28","Animated Photo Editor","ART_AND_DESIGN",4.1,1780,6.1,1e+05,0,"Everyone",4.03,1,0,0,"No"
"29","Pencil Sketch Drawing","ART_AND_DESIGN",3.9,778,4.6,10000,0,"Everyone",2.3,1,0,0,"No"
"30","Easy Realistic Drawing Tutorial","ART_AND_DESIGN",4.1,2035,4.2,1e+05,0,"Everyone",2.3,1,0,0,"No"
"31","Pink Silver Bow Keyboard Theme","ART_AND_DESIGN",4.2,306,9.2,1e+05,0,"Everyone",4.03,1,0,0,"No"
"32","Art Drawing Ideas","ART_AND_DESIGN",4.1,2084,5.2,50000,0,"Everyone",2.3,1,0,0,"No"
"33","Anime Manga Coloring Book","ART_AND_DESIGN",4.5,4225,11,1e+05,0,"Everyone",4,1,0,0,"No"
"34","Easy Origami Ideas","ART_AND_DESIGN",4.2,47,11,1e+05,0,"Everyone",4.1,1,0,0,"No"
"35","I Creative Idea","ART_AND_DESIGN",4.7,3284,4.2,10000,0,"Teen",4.1,0,0,1,"No"
"36","How to draw Ladybug and Cat Noir","ART_AND_DESIGN",3.8,4522,9.2,1e+05,0,"Everyone",4.1,1,0,0,"No"
"37","UNICORN - Color By Number & Pixel Art Coloring","ART_AND_DESIGN",4.7,5498,24,5e+05,0,"Everyone",4.4,1,0,0,"Yes"
"39","PIP Camera - PIP Collage Maker","ART_AND_DESIGN",4.7,1169,11,10000,0,"Everyone",4.03,1,0,0,"No"
"40","How To Color Disney Princess - Coloring Pages","ART_AND_DESIGN",4,4638,9.4,5e+05,0,"Everyone",4,1,0,0,"Yes"
"41","Drawing Clothes Fashion Ideas","ART_AND_DESIGN",4.2,424,15,10000,0,"Everyone",4.03,1,0,0,"No"
"42","Sad Poetry Photo Frames 2018","ART_AND_DESIGN",4.5,1439,10,1e+05,0,"Everyone",4.03,1,0,0,"No"
"44","Paint Splash!","ART_AND_DESIGN",3.8,2006,1.2,1e+05,0,"Everyone",4.1,1,0,0,"No"
"45","Popsicle Sticks and Similar DIY Craft Ideas","ART_AND_DESIGN",4.2,2463,12,10000,0,"Everyone",4.1,1,0,0,"No"
"46","Canva: Poster, banner, card maker & graphic design","ART_AND_DESIGN",4.7,1419,24,1e+07,0,"Everyone",4.1,1,0,0,"Yes"
"47","Install images with music to make video without Net - 2018","ART_AND_DESIGN",4.6,190,26,1e+05,0,"Everyone",4.1,1,0,0,"No"
"48","Little Teddy Bear Colouring Book Game","ART_AND_DESIGN",4.2,5600,8,1e+05,0,"Everyone",4.1,1,0,0,"No"
"49","How To Draw Food","ART_AND_DESIGN",4.3,5587,7.9,1e+05,0,"Everyone",2.3,1,0,0,"No"
"50","Monster Truck Stunt 3D 2019","AUTO_AND_VEHICLES",4.2,3374,25,1e+05,0,"Everyone",4.03,1,0,0,"No"
"51","Real Tractor Farming","AUTO_AND_VEHICLES",4,1196,56,1e+06,0,"Everyone",4.1,1,0,0,"Yes"
"52","Ultimate F1 Racing Championship","AUTO_AND_VEHICLES",3.8,2691,57,1e+05,0,"Everyone",4.1,1,0,0,"No"
"54","American Muscle Car Race","AUTO_AND_VEHICLES",3.9,639,35,1e+05,0,"Everyone",4.1,1,0,0,"No"
"55","Offroad Oil Tanker Driver Transport Truck 2019","AUTO_AND_VEHICLES",4.3,4421,33,1e+05,0,"Everyone",4.1,1,0,0,"No"
"56","Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru","AUTO_AND_VEHICLES",4.9,144,33,1e+05,0,"Everyone",4,1,0,0,"No"
"57","Gas Prices (Germany only)","AUTO_AND_VEHICLES",4.4,5459,5.6,50000,0,"Everyone",4.4,1,0,0,"No"
"58","Extreme Rally Championship","AUTO_AND_VEHICLES",4.2,639,54,1e+05,0,"Everyone",4.1,1,0,0,"No"
"59","Restart Navigator","AUTO_AND_VEHICLES",4,851,201,1e+05,0,"Everyone",2.2,1,0,0,"No"
"60","REG - Check the regnumber, find information about Swedish vehicles","AUTO_AND_VEHICLES",3.9,3571,3.6,1e+05,0,"Everyone",4.4,1,0,0,"No"
"61","CityBus Lviv","AUTO_AND_VEHICLES",4.6,4379,5.7,10000,0,"Everyone",4.03,1,0,0,"No"
"62","CDL Practice Test 2018 Edition","AUTO_AND_VEHICLES",4.9,5366,17,1e+05,0,"Everyone",4.2,1,0,0,"No"
"63","ezETC (ETC balance inquiry, meter trial, real-time traffic)","AUTO_AND_VEHICLES",4.3,3530,8.6,1e+06,0,"Everyone",4.1,1,0,0,"Yes"
"64","Free VIN Report for Used Cars","AUTO_AND_VEHICLES",4.6,2265,2.4,1e+05,0,"Everyone",4,1,0,0,"No"
"65","DMV Permit Practice Test 2018 Edition","AUTO_AND_VEHICLES",4.9,4726,27,1e+05,0,"Everyone",4.2,1,0,0,"No"
"66","Check Vehicle Tax","AUTO_AND_VEHICLES",3.9,2800,2.7,10000,0,"Everyone",4.4,1,0,0,"No"
"67","Used Cars Mexico","AUTO_AND_VEHICLES",4,1628,2.5,50000,0,"Everyone",2.3,1,0,0,"No"
